Phylum,Treatment,Counts,Day
Acidobacteria,Cellulose_only,2,14
Actinobacteria,Cellulose_only,2,14
Armatimonadetes,Cellulose_only,2,14
Bacteroidetes,Cellulose_only,26,14
Candidate_division_BRC1,Cellulose_only,0,14
Candidate_division_WS3,Cellulose_only,0,14
Chlorobi,Cellulose_only,0,14
Chloroflexi,Cellulose_only,9,14
Cyanobacteria,Cellulose_only,0,14
Elusimicrobia,Cellulose_only,0,14
Fibrobacteres,Cellulose_only,0,14
Firmicutes,Cellulose_only,0,14
Gemmetimonadetes,Cellulose_only,0,14
NA,Cellulose_only,0,14
Nitrospirae,Cellulose_only,1,14
Planctomycetes,Cellulose_only,6,14
Proteobacteria,Cellulose_only,79,14
Spirochaetes,Cellulose_only,0,14
Verrucomicrobia,Cellulose_only,10,14
Acidobacteria,C100,0,14
Actinobacteria,C100,1,14
Armatimonadetes,C100,0,14
Bacteroidetes,C100,4,14
Candidate_division_BRC1,C100,0,14
Candidate_division_WS3,C100,0,14
Chlorobi,C100,0,14
Chloroflexi,C100,7,14
Cyanobacteria,C100,1,14
Elusimicrobia,C100,0,14
Fibrobacteres,C100,1,14
Firmicutes,C100,0,14
Gemmetimonadetes,C100,0,14
NA,C100,0,14
Nitrospirae,C100,0,14
Planctomycetes,C100,5,14
Proteobacteria,C100,31,14
Spirochaetes,C100,0,14
Verrucomicrobia,C100,1,14
Acidobacteria,C700,2,14
Actinobacteria,C700,1,14
Armatimonadetes,C700,2,14
Bacteroidetes,C700,78,14
Candidate_division_BRC1,C700,1,14
Candidate_division_WS3,C700,2,14
Chlorobi,C700,1,14
Chloroflexi,C700,10,14
Cyanobacteria,C700,0,14
Elusimicrobia,C700,0,14
Fibrobacteres,C700,0,14
Firmicutes,C700,0,14
Gemmetimonadetes,C700,0,14
NA,C700,0,14
Nitrospirae,C700,0,14
Planctomycetes,C700,11,14
Proteobacteria,C700,76,14
Spirochaetes,C700,0,14
Verrucomicrobia,C700,9,14
Acidobacteria,Cellulose_only,0,28
Actinobacteria,Cellulose_only,0,28
Armatimonadetes,Cellulose_only,1,28
Bacteroidetes,Cellulose_only,4,28
Candidate_division_BRC1,Cellulose_only,0,28
Candidate_division_WS3,Cellulose_only,0,28
Chlorobi,Cellulose_only,0,28
Chloroflexi,Cellulose_only,3,28
Cyanobacteria,Cellulose_only,0,28
Elusimicrobia,Cellulose_only,0,28
Fibrobacteres,Cellulose_only,0,28
Firmicutes,Cellulose_only,0,28
Gemmetimonadetes,Cellulose_only,0,28
NA,Cellulose_only,0,28
Nitrospirae,Cellulose_only,0,28
Planctomycetes,Cellulose_only,7,28
Proteobacteria,Cellulose_only,43,28
Spirochaetes,Cellulose_only,0,28
Verrucomicrobia,Cellulose_only,3,28
Acidobacteria,C100,6,28
Actinobacteria,C100,1,28
Armatimonadetes,C100,4,28
Bacteroidetes,C100,37,28
Candidate_division_BRC1,C100,0,28
Candidate_division_WS3,C100,0,28
Chlorobi,C100,1,28
Chloroflexi,C100,11,28
Cyanobacteria,C100,1,28
Elusimicrobia,C100,0,28
Fibrobacteres,C100,0,28
Firmicutes,C100,1,28
Gemmetimonadetes,C100,0,28
NA,C100,1,28
Nitrospirae,C100,0,28
Planctomycetes,C100,59,28
Proteobacteria,C100,85,28
Spirochaetes,C100,1,28
Verrucomicrobia,C100,20,28
Acidobacteria,C700,3,28
Actinobacteria,C700,1,28
Armatimonadetes,C700,5,28
Bacteroidetes,C700,23,28
Candidate_division_BRC1,C700,0,28
Candidate_division_WS3,C700,0,28
Chlorobi,C700,1,28
Chloroflexi,C700,7,28
Cyanobacteria,C700,0,28
Elusimicrobia,C700,0,28
Fibrobacteres,C700,0,28
Firmicutes,C700,1,28
Gemmetimonadetes,C700,0,28
NA,C700,0,28
Nitrospirae,C700,0,28
Planctomycetes,C700,17,28
Proteobacteria,C700,64,28
Spirochaetes,C700,0,28
Verrucomicrobia,C700,14,28
Acidobacteria,Cellulose_only,8,45
Actinobacteria,Cellulose_only,9,45
Armatimonadetes,Cellulose_only,2,45
Bacteroidetes,Cellulose_only,20,45
Candidate_division_BRC1,Cellulose_only,0,45
Candidate_division_WS3,Cellulose_only,0,45
Chlorobi,Cellulose_only,0,45
Chloroflexi,Cellulose_only,12,45
Cyanobacteria,Cellulose_only,2,45
Elusimicrobia,Cellulose_only,1,45
Fibrobacteres,Cellulose_only,2,45
Firmicutes,Cellulose_only,1,45
Gemmetimonadetes,Cellulose_only,2,45
NA,Cellulose_only,0,45
Nitrospirae,Cellulose_only,1,45
Planctomycetes,Cellulose_only,48,45
Proteobacteria,Cellulose_only,105,45
Spirochaetes,Cellulose_only,0,45
Verrucomicrobia,Cellulose_only,24,45
Acidobacteria,C100,6,45
Actinobacteria,C100,0,45
Armatimonadetes,C100,0,45
Bacteroidetes,C100,12,45
Candidate_division_BRC1,C100,0,45
Candidate_division_WS3,C100,0,45
Chlorobi,C100,0,45
Chloroflexi,C100,7,45
Cyanobacteria,C100,1,45
Elusimicrobia,C100,0,45
Fibrobacteres,C100,0,45
Firmicutes,C100,0,45
Gemmetimonadetes,C100,0,45
NA,C100,0,45
Nitrospirae,C100,0,45
Planctomycetes,C100,15,45
Proteobacteria,C100,37,45
Spirochaetes,C100,0,45
Verrucomicrobia,C100,10,45
Acidobacteria,C700,6,45
Actinobacteria,C700,2,45
Armatimonadetes,C700,3,45
Bacteroidetes,C700,9,45
Candidate_division_BRC1,C700,0,45
Candidate_division_WS3,C700,0,45
Chlorobi,C700,0,45
Chloroflexi,C700,8,45
Cyanobacteria,C700,1,45
Elusimicrobia,C700,1,45
Fibrobacteres,C700,1,45
Firmicutes,C700,0,45
Gemmetimonadetes,C700,0,45
NA,C700,1,45
Nitrospirae,C700,0,45
Planctomycetes,C700,24,45
Proteobacteria,C700,53,45
Spirochaetes,C700,0,45
Verrucomicrobia,C700,16,45
